outcome,label,seed,run_id,source_jid,step,target_step,N,D,L,n_tickers,source,D_B
heldout_ce,14M,42,14M-s42,4508823,48920,74486,14445623,81402880000,0.5903403212524783,487,test_ce_sp500_jan2026,81.40288
heldout_ce,14M,42,14M-s42,4508823,51550,74486,14445623,85779200000,0.5894979217091625,487,test_ce_sp500_jan2026,85.7792
heldout_ce,14M,42,14M-s42,4508823,53660,74486,14445623,89290240000,0.5883018547626981,487,test_ce_sp500_jan2026,89.29024
heldout_ce,14M,42,14M-s42,4508823,55770,74486,14445623,92801280000,0.5876859862212038,487,test_ce_sp500_jan2026,92.80128
heldout_ce,14M,42,14M-s42,4508823,59980,74486,14445623,99806720000,0.5862780535245579,487,test_ce_sp500_jan2026,99.80672
heldout_ce,14M,42,14M-s42,4508823,62000,74486,14445623,103168000000,0.5855741263415045,487,test_ce_sp500_jan2026,103.168
heldout_ce,14M,42,14M-s42,4508823,64100,74486,14445623,106662400000,0.5851102874019553,487,test_ce_sp500_jan2026,106.6624
heldout_ce,14M,42,14M-s42,4508823,68300,74486,14445623,113651200000,0.5844920726772207,487,test_ce_sp500_jan2026,113.6512
heldout_ce,14M,42,14M-s42,4508823,70410,74486,14445623,117162240000,0.5840317466787733,487,test_ce_sp500_jan2026,117.16224
heldout_ce,14M,42,14M-s42,4508823,74490,74486,14445623,123951360000,0.5836863743573488,487,test_ce_sp500_jan2026,123.95136
heldout_ce,14M,137,14M-s137,4499407,490,74486,14445623,815360000,1.5839335630806564,487,gap_fill_pred4499407,0.81536
heldout_ce,14M,137,14M-s137,4499407,2580,74486,14445623,4293120000,0.7319403550830466,487,gap_fill_pred4499407,4.29312
heldout_ce,14M,137,14M-s137,4499407,6730,74486,14445623,11198720000,0.6471484375073435,487,gap_fill_pred4499407,11.19872
heldout_ce,14M,137,14M-s137,4499407,19270,74486,14445623,32065280000,0.612564906753309,487,gap_fill_pred4499407,32.06528
heldout_ce,14M,137,14M-s137,4499407,48540,74486,14445623,80770560000,0.5893925837789963,487,gap_fill_pred4499407,80.77056
heldout_ce,14M,137,14M-s137,4510296,53290,74486,14445623,88674560000,0.5869330867237623,487,test_ce_sp500_jan2026,88.67456
heldout_ce,14M,137,14M-s137,4510296,55900,74486,14445623,93017600000,0.5860641952412818,487,test_ce_sp500_jan2026,93.0176
heldout_ce,14M,137,14M-s137,4510296,57990,74486,14445623,96495360000,0.5851754168587788,487,test_ce_sp500_jan2026,96.49536
heldout_ce,14M,137,14M-s137,4510296,60020,74486,14445623,99873280000,0.5845202422362333,487,test_ce_sp500_jan2026,99.87328
heldout_ce,14M,137,14M-s137,4510296,62120,74486,14445623,103367680000,0.5839755149592609,487,test_ce_sp500_jan2026,103.36768
heldout_ce,14M,137,14M-s137,4510296,64230,74486,14445623,106878720000,0.5833663545105247,487,test_ce_sp500_jan2026,106.87872
heldout_ce,14M,137,14M-s137,4510296,66320,74486,14445623,110356480000,0.5829712001939574,487,test_ce_sp500_jan2026,110.35648
heldout_ce,14M,137,14M-s137,4510296,68410,74486,14445623,113834240000,0.5827438484349535,487,test_ce_sp500_jan2026,113.83424
heldout_ce,14M,137,14M-s137,4510296,72590,74486,14445623,120789760000,0.5821661250914392,487,test_ce_sp500_jan2026,120.78976
heldout_ce,14M,137,14M-s137,4510296,74490,74486,14445623,123951360000,0.5819842693619659,487,test_ce_sp500_jan2026,123.95136
heldout_ce,23M,5,23M-s5,4508846,70550,93989,22949247,117395200000,0.5712447837760072,487,test_ce_sp500_jan2026,117.3952
