size_order,label,seed,run_id,attempt_rank,jid,has_loss_data,wandb_run_id,wandb_state,n_points,step_min,step_max
8,78M,42,78M-s42,1,j4422361,False,,,0,,
8,78M,42,78M-s42,2,j4424860,False,,,0,,
8,78M,42,78M-s42,3,j4499539,True,yyguxjwv,finished,292,1000.0,28720.0
8,78M,137,78M-s137,0,j4420249,False,,,0,,
8,78M,137,78M-s137,1,j4424861,False,,,0,,
8,78M,137,78M-s137,2,j4499540,True,46lnqrsi,finished,291,1070.0,28710.0
9,120M,5,120M-s5,0,j4420250,False,,,0,,
9,120M,5,120M-s5,1,j4424862,False,,,0,,
9,120M,5,120M-s5,2,j4499541,True,8mq3q1y8,finished,201,1080.0,29940.0
9,120M,42,120M-s42,0,j4499542,True,h36erlbq,finished,202,1080.0,29860.0
9,120M,137,120M-s137,0,j4420252,False,,,0,,
9,120M,137,120M-s137,1,j4424864,False,,,0,,
9,120M,137,120M-s137,2,j4499543,True,0qyrbrua,finished,200,1090.0,29880.0
10,200M,5,200M-s5,0,j4424865,False,,,0,,
10,200M,5,200M-s5,1,j4499578,True,mfbok49j,finished,103,1110.0,16160.0
10,200M,42,200M-s42,0,j4499579,True,aumzdbuh,finished,104,1080.0,16120.0
11,350M,5,350M-s5,0,j4499580,True,j8cfcraa,finished,89,1040.0,10590.0
11,350M,42,350M-s42,0,j4499581,True,ofa15p6s,finished,89,1080.0,10590.0
